,date,pv,temp,hum,light
0,2021-01-01 0:00,0,1.1,79,0
1,2021-01-01 1:00,0,1.1,83,0
2,2021-01-01 2:00,0,1.1,81,0
3,2021-01-01 3:00,0,1.1,86,0
4,2021-01-01 4:00,0,1.1,87,0
5,2021-01-01 5:00,0,1.1,93,0
6,2021-01-01 6:00,0,1.1,92,0
7,2021-01-01 7:00,0,1.1,94,0
8,2021-01-01 8:00,0,1.1,95,0.06
9,2021-01-01 9:00,48000,1.1,95,0.19
10,2021-01-01 10:00,441600,1.1,93,0.33
11,2021-01-01 11:00,1065600,1,86,0.66
12,2021-01-01 12:00,950400,1.1,79,1.73
13,2021-01-01 13:00,2524800,2.2,74,1.75
14,2021-01-01 14:00,1459200,6.7,74,1.7
15,2021-01-01 15:00,4560000,7.9,70,1.42
16,2021-01-01 16:00,2640000,4.9,63,0.73
17,2021-01-01 17:00,1411200,3.2,67,0.35
18,2021-01-01 18:00,48000,1.8,78,0.08
19,2021-01-01 19:00,0,0.9,72,0
20,2021-01-01 20:00,0,1.1,68,0
21,2021-01-01 21:00,0,0.8,76,0
22,2021-01-01 22:00,0,0.7,84,0
23,2021-01-01 23:00,0,0.9,87,0
24,2021-01-02 0:00,0,1,89,0
25,2021-01-02 1:00,0,0.8,95,0
26,2021-01-02 2:00,0,0.7,97,0
27,2021-01-02 3:00,0,0.8,98,0
28,2021-01-02 4:00,0,0.9,98,0
29,2021-01-02 5:00,0,1,98,0
30,2021-01-02 6:00,0,1.1,98,0
31,2021-01-02 7:00,0,1.1,98,0
32,2021-01-02 8:00,0,0.9,97,0.07
33,2021-01-02 9:00,76800,0.8,94,0.25
34,2021-01-02 10:00,1468800,1.2,79,0.85
35,2021-01-02 11:00,6288000,4.8,64,1.77
36,2021-01-02 12:00,7248000,7,55,1.87
37,2021-01-02 13:00,8265600,9.1,48,2.14
38,2021-01-02 14:00,8697600,9.1,46,2.01
39,2021-01-02 15:00,7766400,7.6,38,1.71
40,2021-01-02 16:00,5347200,5.1,33,1.22
41,2021-01-02 17:00,2054400,1.7,41,0.56
42,2021-01-02 18:00,86400,0.9,48,0.09
43,2021-01-02 19:00,0,0.4,51,0
44,2021-01-02 20:00,0,0.1,54,0
45,2021-01-02 21:00,0,-0.7,54,0
46,2021-01-02 22:00,0,-1.4,55,0
47,2021-01-02 23:00,0,-1.7,58,0
48,2021-01-03 0:00,0,-1.9,57,0
49,2021-01-03 1:00,0,-2,56,0
50,2021-01-03 2:00,0,-1.7,62,0
51,2021-01-03 3:00,0,-1.7,59,0
52,2021-01-03 4:00,0,-1.8,56,0
53,2021-01-03 5:00,0,-1.8,55,0
54,2021-01-03 6:00,0,-1.9,56,0
55,2021-01-03 7:00,0,-2,59,0
56,2021-01-03 8:00,0,-2.6,57,0.07
57,2021-01-03 9:00,912000,-2,52,0.35
