,date,load,workday
0,2023-08-29 00:00:00,17.53,1
1,2023-08-29 00:15:00,12.97,1
2,2023-08-29 00:30:00,13.37,1
3,2023-08-29 00:45:00,13.03,1
4,2023-08-29 01:00:00,12.97,1
5,2023-08-29 01:15:00,11.25,1
6,2023-08-29 01:30:00,10.99,1
7,2023-08-29 01:45:00,10.95,1
8,2023-08-29 02:00:00,11.16,1
9,2023-08-29 02:15:00,13.85,1
10,2023-08-29 02:30:00,13.52,1
11,2023-08-29 02:45:00,13.51,1
12,2023-08-29 03:00:00,14.07,1
13,2023-08-29 03:15:00,12.06,1
14,2023-08-29 03:30:00,11.66,1
15,2023-08-29 03:45:00,11.99,1
16,2023-08-29 04:00:00,11.77,1
17,2023-08-29 04:15:00,17.71,1
18,2023-08-29 04:30:00,18.89,1
19,2023-08-29 04:45:00,18.51,1
20,2023-08-29 05:00:00,18.64,1
21,2023-08-29 05:15:00,23.45,1
22,2023-08-29 05:30:00,22.88,1
23,2023-08-29 05:45:00,23.14,1
24,2023-08-29 06:00:00,23.18,1
25,2023-08-29 06:15:00,24.34,1
26,2023-08-29 06:30:00,24.5,1
27,2023-08-29 06:45:00,26.05,1
28,2023-08-29 07:00:00,26.5,1
29,2023-08-29 07:15:00,31.73,1
30,2023-08-29 07:30:00,31.78,1
31,2023-08-29 07:45:00,31.62,1
32,2023-08-29 08:00:00,31.89,1
33,2023-08-29 08:15:00,43.6,1
34,2023-08-29 08:30:00,43.26,1
35,2023-08-29 08:45:00,43.09,1
36,2023-08-29 09:00:00,43.31,1
37,2023-08-29 09:15:00,53.52,1
38,2023-08-29 09:30:00,54.52,1
39,2023-08-29 09:45:00,54.87,1
40,2023-08-29 10:00:00,54.8,1
41,2023-08-29 10:15:00,59.92,1
42,2023-08-29 10:30:00,60.54,1
43,2023-08-29 10:45:00,60.5,1
44,2023-08-29 11:00:00,60.36,1
45,2023-08-29 11:15:00,63.25,1
46,2023-08-29 11:30:00,63.43,1
47,2023-08-29 11:45:00,63.0,1
48,2023-08-29 12:00:00,62.98,1
49,2023-08-29 12:15:00,62.85,1
50,2023-08-29 12:30:00,63.05,1
51,2023-08-29 12:45:00,63.26,1
52,2023-08-29 13:00:00,62.89,1
53,2023-08-29 13:15:00,62.6,1
54,2023-08-29 13:30:00,63.13,1
55,2023-08-29 13:45:00,62.25,1
56,2023-08-29 14:00:00,62.45,1
57,2023-08-29 14:15:00,63.52,1
58,2023-08-29 14:30:00,63.73,1
59,2023-08-29 14:45:00,63.65,1
60,2023-08-29 15:00:00,63.72,1
61,2023-08-29 15:15:00,62.83,1
62,2023-08-29 15:30:00,63.08,1
63,2023-08-29 15:45:00,62.69,1
64,2023-08-29 16:00:00,62.95,1
65,2023-08-29 16:15:00,62.57,1
66,2023-08-29 16:30:00,62.41,1
67,2023-08-29 16:45:00,62.28,1
68,2023-08-29 17:00:00,62.16,1
69,2023-08-29 17:15:00,58.03,1
70,2023-08-29 17:30:00,57.56,1
71,2023-08-29 17:45:00,57.35,1
72,2023-08-29 18:00:00,57.68,1
73,2023-08-29 18:15:00,52.76,1
74,2023-08-29 18:30:00,52.15,1
75,2023-08-29 18:45:00,51.99,1
76,2023-08-29 19:00:00,52.33,1
77,2023-08-29 19:15:00,49.64,1
78,2023-08-29 19:30:00,49.7,1
79,2023-08-29 19:45:00,49.2,1
80,2023-08-29 20:00:00,47.09,1
81,2023-08-29 20:15:00,44.24,1
82,2023-08-29 20:30:00,43.99,1
