,date,load
0,2023-08-27 16:00:00,12.08
1,2023-08-27 17:00:00,43.06
2,2023-08-27 18:00:00,41.33
3,2023-08-27 19:00:00,36.19
4,2023-08-27 20:00:00,38.74
5,2023-08-27 21:00:00,36.43
6,2023-08-27 22:00:00,35.63
7,2023-08-27 23:00:00,24.53
8,2023-08-28 00:00:00,37.79
9,2023-08-28 01:00:00,34.47
10,2023-08-28 02:00:00,41.11
11,2023-08-28 03:00:00,49.4
12,2023-08-28 04:00:00,58.25
13,2023-08-28 05:00:00,68.88
14,2023-08-28 06:00:00,87.48
15,2023-08-28 07:00:00,113.55
16,2023-08-28 08:00:00,140.65
17,2023-08-28 09:00:00,55.99
18,2023-08-28 10:00:00,182.23
19,2023-08-28 11:00:00,191.31
20,2023-08-28 12:00:00,189.98
21,2023-08-28 13:00:00,189.74
22,2023-08-28 14:00:00,192.05
23,2023-08-28 15:00:00,189.44
24,2023-08-28 16:00:00,187.95
25,2023-08-28 17:00:00,173.9
26,2023-08-28 18:00:00,159.31
27,2023-08-28 19:00:00,198.91
28,2023-08-28 20:00:00,184.3
29,2023-08-28 21:00:00,140.84
30,2023-08-28 22:00:00,106.89
31,2023-08-28 23:00:00,71.86
32,2023-08-29 00:00:00,52.34
33,2023-08-29 01:00:00,44.35
34,2023-08-29 02:00:00,54.95
35,2023-08-29 03:00:00,47.48
36,2023-08-29 04:00:00,73.75
37,2023-08-29 05:00:00,92.65
38,2023-08-29 06:00:00,101.39
39,2023-08-29 07:00:00,127.02
40,2023-08-29 08:00:00,173.26
41,2023-08-29 09:00:00,217.71
42,2023-08-29 10:00:00,241.32
43,2023-08-29 11:00:00,252.66
44,2023-08-29 12:00:00,252.05
45,2023-08-29 13:00:00,250.43
46,2023-08-29 14:00:00,254.62
47,2023-08-29 15:00:00,251.55
48,2023-08-29 16:00:00,249.42
49,2023-08-29 17:00:00,230.62
50,2023-08-29 18:00:00,209.23
51,2023-08-29 19:00:00,195.63
52,2023-08-29 20:00:00,178.81
53,2023-08-29 21:00:00,140.89
54,2023-08-29 22:00:00,101.91
55,2023-08-29 23:00:00,63.54
56,2023-08-30 00:00:00,51.52
57,2023-08-30 01:00:00,43.82
58,2023-08-30 02:00:00,54.41
59,2023-08-30 03:00:00,55.59
60,2023-08-30 04:00:00,82.62
61,2023-08-30 05:00:00,92.28
62,2023-08-30 06:00:00,101.14
63,2023-08-30 07:00:00,115.29
64,2023-08-30 08:00:00,161.6
65,2023-08-30 09:00:00,212.96
66,2023-08-30 10:00:00,239.59
67,2023-08-30 11:00:00,250.87
68,2023-08-30 12:00:00,249.5
69,2023-08-30 13:00:00,248.47
70,2023-08-30 14:00:00,251.72
71,2023-08-30 15:00:00,249.16
72,2023-08-30 16:00:00,246.33
73,2023-08-30 17:00:00,222.9
74,2023-08-30 18:00:00,199.17
75,2023-08-30 19:00:00,187.06
76,2023-08-30 20:00:00,173.9
77,2023-08-30 21:00:00,130.38
78,2023-08-30 22:00:00,96.15
79,2023-08-30 23:00:00,61.38
