Unnamed: 0,date,load,workday,hour,minute,sunlight,temperature,pv
0,2023-09-05 13:15,60.53,1,13,15,163.63,37.23,29.2775
1,2023-09-05 13:30,61.43,1,13,30,163.63,37.23,29.2775
2,2023-09-05 13:45,61.51,1,13,45,163.63,37.23,29.2775
3,2023-09-05 14:00,61.71,1,14,0,190.94,38.42,35.2275
4,2023-09-05 14:15,62.23,1,14,15,190.94,38.42,35.2275
5,2023-09-05 14:30,60.6,1,14,30,190.94,38.42,35.2275
6,2023-09-05 14:45,62.25,1,14,45,190.94,38.42,35.2275
7,2023-09-05 15:00,62.98,1,15,0,98.88,35.7,18.4925
8,2023-09-05 15:15,61.96,1,15,15,98.88,35.7,18.4925
9,2023-09-05 15:30,62.13,1,15,30,98.88,35.7,18.4925
10,2023-09-05 15:45,61.67,1,15,45,98.88,35.7,18.4925
11,2023-09-05 16:00,61.99,1,16,0,57.75,33,10.505
12,2023-09-05 16:15,61.49,1,16,15,57.75,33,10.505
13,2023-09-05 16:30,61.58,1,16,30,57.75,33,10.505
14,2023-09-05 16:45,61.55,1,16,45,57.75,33,10.505
15,2023-09-05 17:00,61.45,1,17,0,29.89,32.53,5.2225
16,2023-09-05 17:15,56.61,1,17,15,29.89,32.53,5.2225
17,2023-09-05 17:30,56.33,1,17,30,29.89,32.53,5.2225
18,2023-09-05 17:45,56.43,1,17,45,29.89,32.53,5.2225
19,2023-09-05 18:00,56.49,1,18,0,7.02,31.63,0.53
20,2023-09-05 18:15,50.99,1,18,15,7.02,31.63,0.53
21,2023-09-05 18:30,51.18,1,18,30,7.02,31.63,0.53
22,2023-09-05 18:45,51.11,1,18,45,7.02,31.63,0.53
23,2023-09-05 19:00,50.94,1,19,0,0,30.15,0
24,2023-09-05 19:15,48.68,1,19,15,0,30.15,0
25,2023-09-05 19:30,48.68,1,19,30,0,30.15,0
26,2023-09-05 19:45,48.6,1,19,45,0,30.15,0
27,2023-09-05 20:00,48.66,1,20,0,0,29.26,0
28,2023-09-05 20:15,46.84,1,20,15,0,29.26,0
29,2023-09-05 20:30,45.12,1,20,30,0,29.26,0
30,2023-09-05 20:45,45.12,1,20,45,0,29.26,0
31,2023-09-05 21:00,45.22,1,21,0,0,28.53,0
32,2023-09-05 21:15,35.41,1,21,15,0,28.53,0
33,2023-09-05 21:30,33.9,1,21,30,0,28.53,0
34,2023-09-05 21:45,34.07,1,21,45,0,28.53,0
35,2023-09-05 22:00,33.38,1,22,0,0,28,0
36,2023-09-05 22:15,25.51,1,22,15,0,28,0
37,2023-09-05 22:30,25.44,1,22,30,0,28,0
38,2023-09-05 22:45,25.58,1,22,45,0,28,0
39,2023-09-05 23:00,24.69,1,23,0,0,27.02,0
40,2023-09-05 23:15,16.5,1,23,15,0,27.02,0
41,2023-09-05 23:30,16.54,1,23,30,0,27.02,0
42,2023-09-05 23:45,16.92,1,23,45,0,27.02,0
43,2023-09-06 0:00,16.23,1,0,0,0,26.29,0
44,2023-09-06 0:15,12.13,1,0,15,0,26.29,0
45,2023-09-06 0:30,12.14,1,0,30,0,26.29,0
46,2023-09-06 0:45,12.33,1,0,45,0,26.29,0
47,2023-09-06 1:00,9.61,1,1,0,0,26,0
48,2023-09-06 1:15,7.57,1,1,15,0,26,0
49,2023-09-06 1:30,7.6,1,1,30,0,26,0
50,2023-09-06 1:45,7.91,1,1,45,0,26,0
51,2023-09-06 2:00,7.83,1,2,0,0,26,0
52,2023-09-06 2:15,11.05,1,2,15,0,26,0
53,2023-09-06 2:30,10.99,1,2,30,0,26,0
54,2023-09-06 2:45,11.1,1,2,45,0,26,0
55,2023-09-06 3:00,11.13,1,3,0,0,25.74,0
56,2023-09-06 3:15,11.12,1,3,15,0,25.74,0
57,2023-09-06 3:30,11.05,1,3,30,0,25.74,0
58,2023-09-06 3:45,11.1,1,3,45,0,25.74,0
59,2023-09-06 4:00,11.27,1,4,0,0,25.28,0
60,2023-09-06 4:15,18.24,1,4,15,0,25.28,0
61,2023-09-06 4:30,18.11,1,4,30,0,25.28,0
62,2023-09-06 4:45,18.25,1,4,45,0,25.28,0
63,2023-09-06 5:00,18.48,1,5,0,0,25.16,0
64,2023-09-06 5:15,21.93,1,5,15,0,25.16,0
65,2023-09-06 5:30,21.93,1,5,30,0,25.16,0
66,2023-09-06 5:45,22.06,1,5,45,0,25.16,0
67,2023-09-06 6:00,21.99,1,6,0,6.22,25.02,0.6775
68,2023-09-06 6:15,23.68,1,6,15,6.22,25.02,0.6775
69,2023-09-06 6:30,23.71,1,6,30,6.22,25.02,0.6775
70,2023-09-06 6:45,23.63,1,6,45,6.22,25.02,0.6775
71,2023-09-06 7:00,24.03,1,7,0,57.95,26.32,8.1675
72,2023-09-06 7:15,28.4,1,7,15,57.95,26.32,8.1675
73,2023-09-06 7:30,28.63,1,7,30,57.95,26.32,8.1675
74,2023-09-06 7:45,28.52,1,7,45,57.95,26.32,8.1675
75,2023-09-06 8:00,29.49,1,8,0,119.28,27.88,20.59
76,2023-09-06 8:15,39.87,1,8,15,119.28,27.88,20.59
77,2023-09-06 8:30,40.98,1,8,30,119.28,27.88,20.59
78,2023-09-06 8:45,41.69,1,8,45,119.28,27.88,20.59
