,date,acdc,load,pv,ess_charge,ess_discharge,workday
3565,2023-10-23 10:00,0,0,0,0,0,1
3566,2023-10-23 10:15,28.47,28.06,0.03,0.01,0,1
3567,2023-10-23 10:30,16.59,33.98,16.84,0.02,0,1
3568,2023-10-23 10:45,20.52,33.18,53.65,40.67,0,1
3569,2023-10-23 11:00,21.12,33.61,94.31,81.8,0,1
3570,2023-10-23 11:15,5.1,33.6,128.09,98.64,0,1
3571,2023-10-23 11:30,7.31,33.52,154.88,126.92,0,1
3572,2023-10-23 11:45,7.21,33.31,166.35,139.48,0,1
3573,2023-10-23 12:00,6.93,33.05,156.96,130.39,0,1
3574,2023-10-23 12:15,15.65,33.84,147.68,129.58,0,1
3575,2023-10-23 12:30,22.48,33.35,77.77,66.75,0,1
3576,2023-10-23 12:45,15.91,33.42,55.82,38.3,0,1
3577,2023-10-23 13:00,21.6,33.4,14.45,3.06,0,1
3578,2023-10-23 13:15,48.51,47.73,0.19,0,0,1
3579,2023-10-23 13:30,74.05,74.13,0.02,0,0,1
3580,2023-10-23 13:45,90.98,90.96,0.04,0,0,1
3581,2023-10-23 14:00,92.09,91.7,0.03,0,0,1
3582,2023-10-23 14:15,107.59,113.82,6.68,0,0,1
3583,2023-10-23 14:30,136.25,163.22,26.06,0,0,1
3584,2023-10-23 14:45,122.53,206.31,66.85,0,-16.27,1
3585,2023-10-23 15:00,177.14,229.89,35.55,0,-17.49,1
3586,2023-10-23 15:15,187.13,238.74,34.13,0,-17.44,1
3587,2023-10-23 15:30,175.23,237.16,44.55,0,-17.38,1
3588,2023-10-23 15:45,175.89,236.69,43.78,0,-17.39,1
3589,2023-10-23 16:00,179.79,242.55,45.13,0,-17.39,1
3590,2023-10-23 16:15,187.78,237.5,32.64,0,-17.37,1
3591,2023-10-23 16:30,215.44,236.33,3.8,0,-17.37,1
3592,2023-10-23 16:45,204.1,221,0.11,0,-17.35,1
3593,2023-10-23 17:00,193.69,196.04,0.05,0,-1.87,1
3594,2023-10-23 17:15,187.07,186.59,0.04,0,0,1
3595,2023-10-23 17:30,172.48,171.88,0.04,0,0,1
3596,2023-10-23 17:45,125.66,125.73,0.03,0,0,1
3597,2023-10-23 18:00,94.13,93.68,0.03,0,0,1
3598,2023-10-23 18:15,13.06,13.01,0,0,0,1
3599,2023-10-23 18:30,0,0,0,0,0,1
