,date,acdc,load,pv,ess_charge,ess_discharge,workday
3661,2023-10-24 10:00:00,1.4,1.48,0.0,0.0,0.0,1
3662,2023-10-24 10:15:00,149.65,33.65,0.03,115.4,0.0,1
3663,2023-10-24 10:30:00,151.5,33.44,17.54,135.56,0.0,1
3664,2023-10-24 10:45:00,144.89,33.46,54.14,165.04,0.0,1
3665,2023-10-24 11:00:00,10.76,33.36,113.09,18.01,0.0,1
3666,2023-10-24 11:15:00,0.0,33.2,128.08,0.0,0.0,1
3667,2023-10-24 11:30:00,0.0,33.25,155.04,0.0,0.0,1
3668,2023-10-24 11:45:00,0.0,33.3,166.74,0.0,0.0,1
3669,2023-10-24 12:00:00,0.0,33.17,156.56,0.0,0.0,1
3670,2023-10-24 12:15:00,0.0,33.19,153.34,0.0,0.0,1
3671,2023-10-24 12:30:00,1.0,33.27,115.44,0.0,0.0,1
3672,2023-10-24 12:45:00,4.97,33.14,50.6,0.0,0.0,1
3673,2023-10-24 13:00:00,19.4,33.24,13.67,0.0,0.0,1
3674,2023-10-24 13:15:00,154.39,47.54,0.07,106.36,0.0,1
3675,2023-10-24 13:30:00,152.64,73.92,0.01,78.21,0.0,1
3676,2023-10-24 13:45:00,149.38,90.77,0.01,58.48,0.0,1
3677,2023-10-24 14:00:00,150.34,91.58,0.07,58.18,0.0,1
3678,2023-10-24 14:15:00,160.23,114.85,6.7,52.22,0.0,1
3679,2023-10-24 14:30:00,155.1,161.08,24.26,18.22,0.0,1
3680,2023-10-24 14:45:00,141.05,206.6,65.55,1.53,0.0,1
3681,2023-10-24 15:00:00,153.21,231.0,47.23,0.0,-30.47,1
3682,2023-10-24 15:15:00,148.33,238.23,25.5,0.0,-64.3,1
3683,2023-10-24 15:30:00,157.52,237.01,39.79,0.0,-44.11,1
3684,2023-10-24 15:45:00,158.78,236.9,45.45,0.0,-32.67,1
3685,2023-10-24 16:00:00,157.32,242.36,52.37,0.0,-33.02,1
3686,2023-10-24 16:15:00,138.01,237.42,51.36,0.0,-48.05,1
3687,2023-10-24 16:30:00,158.75,236.4,0.05,0.0,-77.6,1
3688,2023-10-24 16:45:00,153.81,221.35,0.03,0.0,-67.51,1
3689,2023-10-24 17:00:00,154.23,195.27,0.03,0.0,-51.01,1
3690,2023-10-24 17:15:00,147.04,187.15,0.02,0.0,-40.04,1
3691,2023-10-24 17:30:00,150.65,170.53,0.03,0.0,-20.06,1
3692,2023-10-24 17:45:00,125.92,125.45,0.02,0.0,0.0,1
3693,2023-10-24 18:00:00,156.22,94.02,0.02,72.19,-0.01,1
3694,2023-10-24 18:15:00,23.46,17.25,0.01,5.86,0.0,1
3695,2023-10-24 18:30:00,0.0,0.0,0.0,0.0,0.0,1
