,date,acdc,load,pv,ess_charge,ess_discharge,workday
4231,2023-11-03 9:45,0,0,0,0,0,1
4232,2023-11-03 10:00,26.6,28.5,0.02,0.01,-2.74,1
4233,2023-11-03 10:15,4.02,35.04,0.05,0,-31.08,1
4234,2023-11-03 10:30,6.97,33.36,16.66,0,-9.41,1
4235,2023-11-03 10:45,7.69,32.55,69.86,44.63,-0.18,1
4236,2023-11-03 11:00,5.34,33.94,112.7,84.89,0,1
4237,2023-11-03 11:15,34.73,33.35,128.21,129.18,0,1
4238,2023-11-03 11:30,36.86,33.3,153.03,156.62,0,1
4239,2023-11-03 11:45,36.25,33.35,167.22,169.56,0,1
4240,2023-11-03 12:00,35.23,33.28,157.12,158.93,0,1
4241,2023-11-03 12:15,35.24,33.3,153.65,155.29,0,1
4242,2023-11-03 12:30,34.52,33.36,110.7,111.71,0,1
4243,2023-11-03 12:45,7.65,33.31,60.9,35.21,0,1
4244,2023-11-03 13:00,6.13,33.29,13.85,0.44,-13.47,1
4245,2023-11-03 13:15,3.7,46.5,0.03,0.01,-44.08,1
4246,2023-11-03 13:30,2.8,73.6,0.03,0,-70.55,1
4247,2023-11-03 13:45,4.6,88.8,0.03,0,-85.73,1
4248,2023-11-03 14:00,5,79,0.03,0,-86.4,1
4249,2023-11-03 14:15,7.17,107.3,6.42,0,-95.27,1
4250,2023-11-03 14:30,15.37,165.12,22.82,0,-127.28,1
4251,2023-11-03 14:45,6.03,206.84,68.4,0,-132.14,1
4252,2023-11-03 15:00,230.98,231.77,56.27,58.24,-2.35,1
4253,2023-11-03 15:15,242.26,238.31,34.45,37.99,0,1
4254,2023-11-03 15:30,241.21,232.8,45.1,48.45,0,1
4255,2023-11-03 15:45,240.72,241.36,45.09,48.71,0,1
4256,2023-11-03 16:00,246.23,243.07,52.41,56.12,0,1
4257,2023-11-03 16:15,242.86,237.95,32.21,36.72,0,1
4258,2023-11-03 16:30,21.88,236.07,0.38,0.98,-214.88,1
4259,2023-11-03 16:45,2.43,221.57,0.04,0,-218.73,1
4260,2023-11-03 17:00,2.07,195.04,0.05,0,-193.49,1
4261,2023-11-03 17:15,1.77,186.74,0.06,0,-184.86,1
4262,2023-11-03 17:30,4.28,170.53,0.05,0,-166.44,1
4263,2023-11-03 17:45,4.6,125.84,0.04,0,-121.03,1
4264,2023-11-03 18:00,3.16,93.61,0.06,0,-90.54,1
4265,2023-11-03 18:15,7.65,33.31,60.9,35.21,0,1
4266,2023-11-03 18:30,1,2.73,0.85,0,-0.86,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
