,date,acdc,load,pv,ess_charge,ess_discharge,workday
0,2023-10-23 10:15,30.7,29.88,0.3,0,0,0
1,2023-10-23 10:30,14.9,29.93,21.5,0,0,0
2,2023-10-23 10:45,0,29.91,74.7,0,0,0
3,2023-10-23 11:00,0,29.94,117.2,0,0,0
4,2023-10-23 11:15,0,29.96,133,0,0,0
5,2023-10-23 11:30,0,29.93,160.1,0,0,0
6,2023-10-23 11:45,0,29.91,173.6,0,0,0
7,2023-10-23 12:00,0,29.93,161.5,0,0,0
8,2023-10-23 12:15,0,29.91,159.3,0,0,0
9,2023-10-23 12:30,0,29.96,113.6,0,0,0
10,2023-10-23 12:45,1.3,29.96,63.4,0,0,0
11,2023-10-23 13:00,25.5,29.96,15.2,0,0,0
12,2023-10-23 13:15,43.2,44.33,0,0,0,1
13,2023-10-23 13:30,71.2,70.61,0,0,0,1
14,2023-10-23 13:45,86.1,87.25,0,0,0,1
15,2023-10-23 14:00,88.6,87.93,0.1,0,0,1
16,2023-10-23 14:15,97.9,111.51,10.6,0,0,1
17,2023-10-23 14:30,126.6,158.83,28.3,0,0,1
18,2023-10-23 14:45,129.5,203.37,72.7,0,0,1
19,2023-10-23 15:00,165.2,226.65,59.2,0,0,1
20,2023-10-23 15:15,199.2,233.84,36.2,0,0,1
21,2023-10-23 15:30,186,232.58,48,0,0,1
22,2023-10-23 15:45,185.6,231.98,48,0,0,1
23,2023-10-23 16:00,181.9,237.64,54.9,0,0,1
24,2023-10-23 16:15,198.1,232.95,35.3,0,0,1
25,2023-10-23 16:30,222,231.47,9.2,0,0,1
26,2023-10-23 16:45,214.2,216.56,0.1,0,0,1
27,2023-10-23 17:00,193,190.46,0,0,0,1
28,2023-10-23 17:15,184.3,182.45,0,0,0,1
29,2023-10-23 17:30,168.9,166.47,0,0,0,1
30,2023-10-23 17:45,125.2,121.48,0,0,0,1
31,2023-10-23 18:00,88.7,89.4,0,0,0,1
