,date,sunlight,temperature,pv
0,2023-08-28 23:00:00,0.0,28.08,0.0
1,2023-08-29 00:00:00,0.0,28.0,0.0
2,2023-08-29 01:00:00,0.0,28.0,0.0
3,2023-08-29 02:00:00,0.0,28.0,0.0
4,2023-08-29 03:00:00,0.0,28.0,0.0
5,2023-08-29 04:00:00,0.0,28.0,0.0
6,2023-08-29 05:00:00,0.0,28.0,0.0
7,2023-08-29 06:00:00,5.03,28.0,1.6
8,2023-08-29 07:00:00,15.25,28.91,10.04
9,2023-08-29 08:00:00,42.04,29.81,30.59
10,2023-08-29 09:00:00,82.44,31.79,61.25
11,2023-08-29 10:00:00,80.76,32.69,59.51
12,2023-08-29 11:00:00,65.48,32.0,49.47
13,2023-08-29 12:00:00,16.4,28.79,7.49
14,2023-08-29 13:00:00,41.77,28.34,31.19
15,2023-08-29 14:00:00,60.06,30.26,44.32
16,2023-08-29 15:00:00,20.64,29.41,14.43
17,2023-08-29 16:00:00,30.06,29.23,21.21
18,2023-08-29 17:00:00,12.0,28.23,2.85
19,2023-08-29 18:00:00,3.95,27.88,2.23
20,2023-08-29 19:00:00,0.0,27.0,0.0
21,2023-08-29 20:00:00,0.0,27.0,0.0
22,2023-08-29 21:00:00,0.0,27.0,0.0
23,2023-08-29 22:00:00,0.0,26.56,0.0
24,2023-08-29 23:00:00,0.0,26.0,0.0
25,2023-08-30 00:00:00,0.0,26.0,0.0
26,2023-08-30 01:00:00,0.0,26.0,0.0
27,2023-08-30 02:00:00,0.0,26.0,0.0
28,2023-08-30 03:00:00,0.0,26.0,0.0
29,2023-08-30 04:00:00,0.0,26.0,0.0
30,2023-08-30 05:00:00,0.0,25.9,0.0
31,2023-08-30 06:00:00,0.98,25.27,0.15
32,2023-08-30 07:00:00,7.07,25.58,1.57
33,2023-08-30 08:00:00,19.61,25.22,12.11
34,2023-08-30 09:00:00,46.68,26.52,34.34
35,2023-08-30 10:00:00,34.88,26.85,25.53
36,2023-08-30 11:00:00,86.08,27.27,65.54
37,2023-08-30 12:00:00,57.7,27.0,43.4
38,2023-08-30 13:00:00,71.92,27.89,54.26
39,2023-08-30 14:00:00,58.32,27.77,43.33
40,2023-08-30 15:00:00,28.82,26.62,20.86
41,2023-08-30 16:00:00,16.17,25.37,11.42
42,2023-08-30 17:00:00,8.63,24.01,4.94
43,2023-08-30 18:00:00,0.28,23.0,0.09
44,2023-08-30 19:00:00,0.0,23.0,0.0
45,2023-08-30 20:00:00,0.0,23.0,0.0
46,2023-08-30 21:00:00,0.0,23.0,0.0
47,2023-08-30 22:00:00,0.0,23.0,0.0
48,2023-08-30 23:00:00,0.0,22.06,0.0
49,2023-08-31 00:00:00,0.0,22.0,0.0
50,2023-08-31 01:00:00,0.0,22.0,0.0
51,2023-08-31 02:00:00,0.0,22.0,0.0
52,2023-08-31 03:00:00,0.0,22.0,0.0
53,2023-08-31 04:00:00,0.0,22.0,0.0
54,2023-08-31 05:00:00,0.0,22.0,0.0
55,2023-08-31 06:00:00,8.97,22.44,3.1
56,2023-08-31 07:00:00,27.28,23.04,17.62
57,2023-08-31 08:00:00,96.12,24.76,70.46
58,2023-08-31 09:00:00,140.1,27.87,103.38
59,2023-08-31 10:00:00,202.86,29.98,145.92
60,2023-08-31 11:00:00,274.58,32.38,193.87
61,2023-08-31 12:00:00,250.38,33.24,180.88
62,2023-08-31 13:00:00,249.03,34.27,176.27
63,2023-08-31 14:00:00,228.4,35.5,167.41
64,2023-08-31 15:00:00,188.42,35.24,140.97
65,2023-08-31 16:00:00,127.28,35.03,92.65
66,2023-08-31 17:00:00,72.67,32.95,45.51
67,2023-08-31 18:00:00,12.98,30.28,5.99
68,2023-08-31 19:00:00,0.08,27.69,0.02
69,2023-08-31 20:00:00,0.0,26.07,0.0
70,2023-08-31 21:00:00,0.0,25.0,0.0
71,2023-08-31 22:00:00,0.0,24.35,0.0
72,2023-08-31 23:00:00,0.0,24.0,0.0
73,2023-09-01 00:00:00,0.0,23.95,0.0
74,2023-09-01 01:00:00,0.0,23.19,0.0
75,2023-09-01 02:00:00,0.0,23.0,0.0
76,2023-09-01 03:00:00,0.0,23.0,0.0
77,2023-09-01 04:00:00,0.0,22.44,0.0
78,2023-09-01 05:00:00,0.0,22.84,0.0
79,2023-09-01 06:00:00,2.73,23.0,0.64
80,2023-09-01 07:00:00,25.78,23.59,16.31
81,2023-09-01 08:00:00,48.92,25.25,35.72
82,2023-09-01 09:00:00,79.73,26.68,60.06
83,2023-09-01 10:00:00,147.43,29.02,111.09
84,2023-09-01 11:00:00,200.75,31.31,147.13
85,2023-09-01 12:00:00,202.54,32.92,147.39
86,2023-09-01 13:00:00,266.68,35.22,191.25
87,2023-09-01 14:00:00,230.65,36.11,164.83
88,2023-09-01 15:00:00,178.73,36.72,132.86
89,2023-09-01 16:00:00,113.38,35.9,81.39
90,2023-09-01 17:00:00,58.13,35.59,39.07
91,2023-09-01 18:00:00,12.64,32.91,7.6
92,2023-09-01 19:00:00,0.0,29.32,0.0
93,2023-09-01 20:00:00,0.0,27.18,0.0
94,2023-09-01 21:00:00,0.0,26.86,0.0
95,2023-09-01 22:00:00,0.0,26.24,0.0
96,2023-09-01 23:00:00,0.0,25.68,0.0
97,2023-09-02 00:00:00,0.0,25.0,0.0
98,2023-09-02 01:00:00,0.0,25.51,0.0
99,2023-09-02 02:00:00,0.0,26.0,0.0
100,2023-09-02 03:00:00,0.0,26.0,0.0
101,2023-09-02 04:00:00,0.0,24.92,0.0
102,2023-09-02 05:00:00,0.0,24.0,0.0
103,2023-09-02 06:00:00,3.34,24.18,1.35
104,2023-09-02 07:00:00,40.48,25.39,28.05
105,2023-09-02 08:00:00,34.28,26.0,24.32
106,2023-09-02 09:00:00,64.21,25.76,48.13
107,2023-09-02 10:00:00,78.31,27.58,58.5
108,2023-09-02 11:00:00,94.74,28.17,69.69
109,2023-09-02 12:00:00,53.68,29.0,38.99
110,2023-09-02 13:00:00,178.61,29.43,131.46
111,2023-09-02 14:00:00,136.23,31.61,98.91
112,2023-09-02 15:00:00,42.32,30.98,30.16
113,2023-09-02 16:00:00,45.18,29.08,32.49
114,2023-09-02 17:00:00,29.64,29.0,20.14
115,2023-09-02 18:00:00,7.46,28.69,4.48
116,2023-09-02 19:00:00,0.0,28.0,0.0
117,2023-09-02 20:00:00,0.0,27.82,0.0
118,2023-09-02 21:00:00,0.0,27.0,0.0
119,2023-09-02 22:00:00,0.0,27.0,0.0
120,2023-09-02 23:00:00,0.0,27.0,0.0
121,2023-09-03 00:00:00,0.0,27.0,0.0
122,2023-09-03 01:00:00,0.0,26.78,0.0
123,2023-09-03 02:00:00,0.0,27.0,0.0
124,2023-09-03 03:00:00,0.0,27.0,0.0
125,2023-09-03 04:00:00,0.0,27.0,0.0
126,2023-09-03 05:00:00,0.0,27.0,0.0
127,2023-09-03 06:00:00,2.37,27.0,0.39
128,2023-09-03 07:00:00,23.63,27.71,13.81
129,2023-09-03 08:00:00,95.55,29.24,68.34
130,2023-09-03 09:00:00,161.31,32.09,115.32
131,2023-09-03 10:00:00,202.38,34.47,147.61
132,2023-09-03 11:00:00,224.63,36.26,160.78
133,2023-09-03 12:00:00,168.84,36.38,119.6
134,2023-09-03 13:00:00,190.15,36.61,134.4
135,2023-09-03 14:00:00,180.2,37.52,131.6
136,2023-09-03 15:00:00,76.74,35.38,55.96
137,2023-09-03 16:00:00,130.61,36.86,92.98
138,2023-09-03 17:00:00,54.48,36.69,34.65
139,2023-09-03 18:00:00,9.38,33.04,5.04
140,2023-09-03 19:00:00,0.0,30.22,0.0
141,2023-09-03 20:00:00,0.0,29.32,0.0
142,2023-09-03 21:00:00,0.0,28.24,0.0
143,2023-09-03 22:00:00,0.0,27.36,0.0
144,2023-09-03 23:00:00,0.0,27.0,0.0
145,2023-09-04 00:00:00,0.0,27.0,0.0
146,2023-09-04 01:00:00,0.0,27.0,0.0
147,2023-09-04 02:00:00,0.0,26.78,0.0
148,2023-09-04 03:00:00,0.0,26.92,0.0
149,2023-09-04 04:00:00,0.0,26.0,0.0
150,2023-09-04 05:00:00,0.0,26.0,0.0
151,2023-09-04 06:00:00,10.13,26.0,2.86
