"시점","월별","시간별",숙박업,통신업,연구개발업
"2020","1월","1시",975,919,785
"2020","1월","2시",920,912,777
"2020","1월","3시",877,908,773
"2020","1월","4시",850,908,770
"2020","1월","5시",850,909,774
"2020","1월","6시",887,921,804
"2020","1월","7시",946,950,869
"2020","1월","8시",979,1001,972
"2020","1월","9시",1006,1078,1142
"2020","1월","10시",1031,1105,1273
"2020","1월","11시",1047,1099,1285
"2020","1월","12시",1034,1090,1255
"2020","1월","13시",1024,1078,1215
"2020","1월","14시",1015,1079,1234
"2020","1월","15시",1008,1075,1224
"2020","1월","16시",1011,1073,1211
"2020","1월","17시",1034,1070,1195
"2020","1월","18시",1088,1062,1129
"2020","1월","19시",1110,1016,1006
"2020","1월","20시",1099,981,933
"2020","1월","21시",1080,960,896
"2020","1월","22시",1053,945,858
"2020","1월","23시",1028,934,817
"2020","1월","24시",1047,927,802
"2020","2월","1시",993,922,795
"2020","2월","2시",941,916,787
"2020","2월","3시",899,913,785
"2020","2월","4시",873,912,785
"2020","2월","5시",872,914,789
"2020","2월","6시",907,924,817
"2020","2월","7시",962,952,880
"2020","2월","8시",987,1002,985
"2020","2월","9시",1010,1074,1151
"2020","2월","10시",1027,1097,1270
"2020","2월","11시",1044,1092,1274
"2020","2월","12시",1033,1085,1244
"2020","2월","13시",1021,1075,1206
"2020","2월","14시",1011,1075,1220
"2020","2월","15시",1002,1070,1210
"2020","2월","16시",1001,1068,1197
"2020","2월","17시",1020,1065,1182
"2020","2월","18시",1054,1058,1116
"2020","2월","19시",1087,1017,999
"2020","2월","20시",1085,984,930
"2020","2월","21시",1066,964,896
"2020","2월","22시",1040,950,861
"2020","2월","23시",1020,939,815
"2020","2월","24시",1044,931,807
"2020","3월","1시",1009,937,824
"2020","3월","2시",951,930,815
"2020","3월","3시",910,926,813
"2020","3월","4시",884,925,813
"2020","3월","5시",886,926,817
"2020","3월","6시",922,936,845
"2020","3월","7시",966,960,906
"2020","3월","8시",986,999,1000
"2020","3월","9시",999,1057,1130
"2020","3월","10시",1008,1074,1219
"2020","3월","11시",1026,1072,1221
"2020","3월","12시",1018,1068,1200
"2020","3월","13시",1011,1060,1177
"2020","3월","14시",999,1061,1164
"2020","3월","15시",993,1058,1163
"2020","3월","16시",993,1057,1160
"2020","3월","17시",1007,1056,1158
"2020","3월","18시",1036,1050,1121
"2020","3월","19시",1069,1019,1018
"2020","3월","20시",1087,991,958
"2020","3월","21시",1065,974,915
"2020","3월","22시",1046,963,878
"2020","3월","23시",1048,954,845
"2020","3월","24시",1082,947,838
"2020","4월","1시",1008,943,849
"2020","4월","2시",944,936,841
"2020","4월","3시",898,931,838
"2020","4월","4시",875,930,838
"2020","4월","5시",878,931,840
"2020","4월","6시",911,940,862
"2020","4월","7시",943,960,913
"2020","4월","8시",961,990,980
"2020","4월","9시",975,1037,1080
"2020","4월","10시",994,1057,1161
"2020","4월","11시",1023,1062,1174
"2020","4월","12시",1019,1061,1164
"2020","4월","13시",1013,1055,1153
"2020","4월","14시",1008,1059,1147
"2020","4월","15시",1007,1059,1155
"2020","4월","16시",1006,1058,1159
"2020","4월","17시",1017,1056,1157
"2020","4월","18시",1038,1049,1121
"2020","4월","19시",1058,1023,1028
"2020","4월","20시",1100,998,975
"2020","4월","21시",1086,981,936
"2020","4월","22시",1069,969,899
"2020","4월","23시",1070,960,866
"2020","4월","24시",1101,953,863
"2020","5월","1시",917,948,867
"2020","5월","2시",862,941,853
"2020","5월","3시",822,936,848
"2020","5월","4시",800,935,842
"2020","5월","5시",802,935,838
"2020","5월","6시",835,942,847
"2020","5월","7시",885,960,891
"2020","5월","8시",928,984,937
"2020","5월","9시",976,1019,1015
"2020","5월","10시",1032,1039,1107
"2020","5월","11시",1083,1047,1143
"2020","5월","12시",1090,1051,1147
"2020","5월","13시",1096,1050,1157
"2020","5월","14시",1103,1059,1164
"2020","5월","15시",1106,1062,1190
"2020","5월","16시",1105,1062,1201
"2020","5월","17시",1106,1060,1190
"2020","5월","18시",1111,1053,1140
"2020","5월","19시",1098,1027,1034
"2020","5월","20시",1109,1003,979
"2020","5월","21시",1082,988,942
"2020","5월","22시",1045,976,906
"2020","5월","23시",1003,966,874
"2020","5월","24시",1005,957,888
"2020","6월","1시",869,935,831
"2020","6월","2시",817,927,816
"2020","6월","3시",776,923,811
"2020","6월","4시",754,920,804
"2020","6월","5시",751,919,802
"2020","6월","6시",783,927,810
"2020","6월","7시",846,947,854
"2020","6월","8시",915,983,920
"2020","6월","9시",988,1035,1040
"2020","6월","10시",1057,1062,1161
"2020","6월","11시",1118,1070,1206
"2020","6월","12시",1134,1072,1214
"2020","6월","13시",1144,1070,1217
"2020","6월","14시",1153,1083,1234
"2020","6월","15시",1157,1084,1253
"2020","6월","16시",1156,1086,1257
"2020","6월","17시",1153,1079,1239
"2020","6월","18시",1155,1060,1165
"2020","6월","19시",1129,1019,1012
"2020","6월","20시",1115,987,939
"2020","6월","21시",1083,968,894
"2020","6월","22시",1031,954,856
"2020","6월","23시",964,943,819
"2020","6월","24시",953,945,844
"2020","7월","1시",856,938,835
"2020","7월","2시",803,930,823
"2020","7월","3시",762,926,815
"2020","7월","4시",737,923,805
"2020","7월","5시",735,921,803
"2020","7월","6시",770,927,813
"2020","7월","7시",840,948,866
"2020","7월","8시",915,988,933
"2020","7월","9시",995,1041,1056
"2020","7월","10시",1069,1066,1169
"2020","7월","11시",1133,1070,1206
"2020","7월","12시",1140,1070,1214
"2020","7월","13시",1147,1066,1211
"2020","7월","14시",1152,1078,1227
"2020","7월","15시",1155,1082,1242
"2020","7월","16시",1159,1083,1243
"2020","7월","17시",1167,1078,1229
"2020","7월","18시",1166,1061,1160
"2020","7월","19시",1138,1015,1011
"2020","7월","20시",1121,984,937
"2020","7월","21시",1089,965,890
"2020","7월","22시",1038,952,851
"2020","7월","23시",965,941,818
"2020","7월","24시",950,946,844
"2020","8월","1시",841,926,810
"2020","8월","2시",784,920,801
"2020","8월","3시",745,916,793
"2020","8월","4시",724,914,784
"2020","8월","5시",724,915,782
"2020","8월","6시",761,922,796
"2020","8월","7시",827,941,856
"2020","8월","8시",913,987,942
"2020","8월","9시",1010,1053,1082
"2020","8월","10시",1100,1079,1202
"2020","8월","11시",1157,1082,1240
"2020","8월","12시",1146,1082,1239
"2020","8월","13시",1146,1081,1237
"2020","8월","14시",1152,1091,1250
"2020","8월","15시",1158,1091,1262
"2020","8월","16시",1169,1090,1260
"2020","8월","17시",1178,1084,1243
"2020","8월","18시",1176,1066,1166
"2020","8월","19시",1148,1012,1008
"2020","8월","20시",1131,978,927
"2020","8월","21시",1089,958,874
"2020","8월","22시",1037,943,827
"2020","8월","23시",964,932,796
"2020","8월","24시",922,935,822
"2020","9월","1시",885,946,854
"2020","9월","2시",832,939,840
"2020","9월","3시",795,932,832
"2020","9월","4시",775,931,822
"2020","9월","5시",777,931,819
"2020","9월","6시",815,939,830
"2020","9월","7시",869,954,878
"2020","9월","8시",931,988,935
"2020","9월","9시",999,1033,1043
"2020","9월","10시",1059,1054,1154
"2020","9월","11시",1115,1060,1191
"2020","9월","12시",1121,1062,1199
"2020","9월","13시",1129,1061,1204
"2020","9월","14시",1133,1069,1210
"2020","9월","15시",1133,1070,1222
"2020","9월","16시",1131,1070,1220
"2020","9월","17시",1131,1066,1205
"2020","9월","18시",1129,1055,1145
"2020","9월","19시",1123,1016,1017
"2020","9월","20시",1118,989,946
"2020","9월","21시",1070,972,897
"2020","9월","22시",1013,959,857
"2020","9월","23시",960,949,825
"2020","9월","24시",960,953,855
"2020","10월","1시",945,954,860
"2020","10월","2시",879,944,845
"2020","10월","3시",835,937,841
"2020","10월","4시",812,936,835
"2020","10월","5시",816,938,835
"2020","10월","6시",860,948,850
"2020","10월","7시",909,963,892
"2020","10월","8시",949,987,940
"2020","10월","9시",988,1022,1038
"2020","10월","10시",1019,1041,1138
"2020","10월","11시",1054,1047,1164
"2020","10월","12시",1048,1051,1163
"2020","10월","13시",1047,1049,1156
"2020","10월","14시",1049,1054,1157
"2020","10월","15시",1050,1054,1173
"2020","10월","16시",1052,1054,1174
"2020","10월","17시",1064,1054,1179
"2020","10월","18시",1099,1050,1147
"2020","10월","19시",1139,1025,1052
"2020","10월","20시",1128,1002,980
"2020","10월","21시",1100,987,935
"2020","10월","22시",1066,975,903
"2020","10월","23시",1037,966,870
"2020","10월","24시",1055,961,872
"2020","11월","1시",977,945,831
"2020","11월","2시",912,935,822
"2020","11월","3시",865,931,821
"2020","11월","4시",841,931,818
"2020","11월","5시",844,933,819
"2020","11월","6시",887,944,838
"2020","11월","7시",942,963,892
"2020","11월","8시",976,996,969
"2020","11월","9시",1004,1045,1099
"2020","11월","10시",1020,1065,1210
"2020","11월","11시",1036,1065,1214
"2020","11월","12시",1019,1062,1195
"2020","11월","13시",1009,1056,1175
"2020","11월","14시",1005,1057,1188
"2020","11월","15시",999,1049,1192
"2020","11월","16시",1008,1050,1189
"2020","11월","17시",1032,1048,1179
"2020","11월","18시",1100,1043,1113
"2020","11월","19시",1123,1020,1011
"2020","11월","20시",1116,996,943
"2020","11월","21시",1096,981,916
"2020","11월","22시",1067,970,882
"2020","11월","23시",1049,961,841
"2020","11월","24시",1074,954,843
"2020","12월","1시",994,928,807
"2020","12월","2시",947,920,800
"2020","12월","3시",908,916,794
"2020","12월","4시",885,915,792
"2020","12월","5시",884,918,795
"2020","12월","6시",914,929,816
"2020","12월","7시",963,953,874
"2020","12월","8시",988,1001,947
"2020","12월","9시",998,1070,1131
"2020","12월","10시",1005,1095,1289
"2020","12월","11시",1020,1091,1298
"2020","12월","12시",1010,1085,1263
"2020","12월","13시",1003,1075,1215
"2020","12월","14시",997,1075,1224
"2020","12월","15시",994,1070,1220
"2020","12월","16시",1004,1063,1212
"2020","12월","17시",1033,1061,1202
"2020","12월","18시",1091,1055,1136
"2020","12월","19시",1096,1012,994
"2020","12월","20시",1084,981,917
"2020","12월","21시",1060,963,875
"2020","12월","22시",1030,951,831
"2020","12월","23시",1025,940,789
"2020","12월","24시",1065,933,780
"2021","1월","1시",1027,935,809
"2021","1월","2시",980,927,802
"2021","1월","3시",943,921,804
"2021","1월","4시",920,919,801
"2021","1월","5시",917,919,807
"2021","1월","6시",937,927,829
"2021","1월","7시",970,951,890
"2021","1월","8시",983,997,991
"2021","1월","9시",982,1062,1139
"2021","1월","10시",978,1087,1258
"2021","1월","11시",988,1084,1261
"2021","1월","12시",980,1080,1237
"2021","1월","13시",975,1072,1208
"2021","1월","14시",969,1071,1211
"2021","1월","15시",967,1067,1204
"2021","1월","16시",975,1062,1194
"2021","1월","17시",1004,1063,1184
"2021","1월","18시",1058,1055,1109
"2021","1월","19시",1090,1012,985
"2021","1월","20시",1089,983,918
"2021","1월","21시",1074,967,892
"2021","1월","22시",1053,956,846
"2021","1월","23시",1055,945,805
"2021","1월","24시",1087,938,816
"2021","2월","1시",1024,942,822
"2021","2월","2시",971,933,815
"2021","2월","3시",929,927,816
"2021","2월","4시",904,925,814
"2021","2월","5시",900,925,820
"2021","2월","6시",924,934,844
"2021","2월","7시",963,959,907
"2021","2월","8시",979,1003,1006
"2021","2월","9시",984,1064,1143
"2021","2월","10시",983,1084,1252
"2021","2월","11시",990,1080,1247
"2021","2월","12시",976,1072,1214
"2021","2월","13시",971,1066,1186
"2021","2월","14시",964,1063,1191
"2021","2월","15시",963,1055,1185
"2021","2월","16시",972,1055,1173
"2021","2월","17시",997,1054,1160
"2021","2월","18시",1042,1047,1089
"2021","2월","19시",1095,1012,983
"2021","2월","20시",1106,984,923
"2021","2월","21시",1098,969,901
"2021","2월","22시",1082,958,862
"2021","2월","23시",1079,948,818
