시점,월별,시간별,컴퓨터 프로그래밍/ 시스템 통합 및 관리업,연구개발업
2020,10월,1시,934,860
2020,10월,2시,930,845
2020,10월,3시,927,841
2020,10월,4시,924,835
2020,10월,5시,924,835
2020,10월,6시,929,850
2020,10월,7시,938,892
2020,10월,8시,955,940
2020,10월,9시,1024,1038
2020,10월,10시,1057,1138
2020,10월,11시,1066,1164
2020,10월,12시,1071,1163
2020,10월,13시,1069,1156
2020,10월,14시,1078,1157
2020,10월,15시,1080,1173
2020,10월,16시,1075,1174
2020,10월,17시,1072,1179
2020,10월,18시,1064,1147
2020,10월,19시,1018,1052
2020,10월,20시,999,980
2020,10월,21시,988,935
2020,10월,22시,972,903
2020,10월,23시,960,870
2020,10월,24시,948,872
2020,11월,1시,936,831
2020,11월,2시,931,822
2020,11월,3시,926,821
2020,11월,4시,925,818
2020,11월,5시,924,819
2020,11월,6시,930,838
2020,11월,7시,941,892
2020,11월,8시,963,969
2020,11월,9시,1038,1099
2020,11월,10시,1077,1210
2020,11월,11시,1081,1214
2020,11월,12시,1074,1195
2020,11월,13시,1065,1175
2020,11월,14시,1068,1188
2020,11월,15시,1067,1192
2020,11월,16시,1064,1189
2020,11월,17시,1061,1179
2020,11월,18시,1057,1113
2020,11월,19시,1017,1011
2020,11월,20시,998,943
2020,11월,21시,985,916
2020,11월,22시,970,882
2020,11월,23시,956,841
2020,11월,24시,945,843
2020,12월,1시,917,807
2020,12월,2시,912,800
2020,12월,3시,908,794
2020,12월,4시,907,792
2020,12월,5시,907,795
2020,12월,6시,915,816
2020,12월,7시,932,874
2020,12월,8시,974,947
2020,12월,9시,1047,1131
2020,12월,10시,1103,1289
2020,12월,11시,1108,1298
2020,12월,12시,1099,1263
2020,12월,13시,1086,1215
2020,12월,14시,1088,1224
2020,12월,15시,1084,1220
2020,12월,16시,1078,1212
2020,12월,17시,1072,1202
2020,12월,18시,1063,1136
2020,12월,19시,1012,994
2020,12월,20시,987,917
2020,12월,21시,975,875
2020,12월,22시,957,831
2020,12월,23시,941,789
2020,12월,24시,928,780
