,date,acdc,load,pv,ess_charge,ess_discharge,workday,,,
0,2023-08-27 16:44,0.82,4.58,4.91,0,0,0,,,
1,2023-08-27 16:59,0.29,12.08,13.03,0,0,0,,,
2,2023-08-27 17:14,5.27,15.6,10.11,0,0,0,,,
3,2023-08-27 17:29,6.55,14.16,7.72,0,0,0,,,
4,2023-08-27 17:44,7.66,12.94,5.4,0,0,0,,,
5,2023-08-27 17:59,12.66,15.96,3.2,0,0,0,,,
6,2023-08-27 18:14,14.45,15.57,1.2,0,0,0,,,
7,2023-08-27 18:29,14.31,14.34,0.01,0,0,0,,,
8,2023-08-27 18:44,13.54,13.59,0.04,0,0,0,,,
9,2023-08-27 18:59,13.46,13.4,0.02,0,0,0,,,
10,2023-08-27 19:14,12.46,12.42,0,0,0,0,,,
11,2023-08-27 19:29,11.53,11.5,0,0,0,0,,,
12,2023-08-27 19:44,12.74,12.69,0,0,0,0,,,
13,2023-08-27 19:59,11.95,12,0,0,0,0,,,
14,2023-08-27 20:14,12.02,11.99,0,0,0,0,,,
15,2023-08-27 20:29,13.25,13.25,0,0,0,0,,,
16,2023-08-27 20:44,12.72,12.62,0,0,0,0,,,
17,2023-08-27 20:59,12.71,12.87,0,0,0,0,,,
18,2023-08-27 21:14,11.56,11.52,0,0,0,0,,,
19,2023-08-27 21:29,11.98,11.97,0,0,0,0,,,
20,2023-08-27 21:44,12.36,12.33,0,0,0,0,,,
21,2023-08-27 21:59,12.19,12.13,0,0,0,0,,,
22,2023-08-27 22:14,11.99,11.97,0,0,0,0,,,
23,2023-08-27 22:29,11.78,11.76,0,0,0,0,,,
24,2023-08-27 22:44,11.68,11.72,0,0,0,0,,,
25,2023-08-27 22:59,12.15,12.15,0,0,0,0,,,
26,2023-08-27 23:14,12.56,12.49,0,0,0,0,,,
27,2023-08-27 23:29,12.1,12.08,0,0,0,0,,,
28,2023-08-27 23:44,12.49,12.45,0,0,0,0,,,
29,2023-08-28 0:14,26.78,26.75,0,0,0,1,,,
30,2023-08-28 0:29,12.22,12.09,0,0,0,1,,,
31,2023-08-28 0:44,12.73,12.78,0,0,0,1,,,
32,2023-08-28 0:59,13.04,12.92,0,0,0,1,,,
33,2023-08-28 1:14,11.6,11.76,0,0,0,1,,,
34,2023-08-28 1:29,11.49,11.46,0,0,0,1,,,
35,2023-08-28 1:44,11.75,11.6,0,0,0,1,,,
36,2023-08-28 1:59,11.43,11.41,0,0,0,1,,,
37,2023-08-28 2:14,13.66,13.74,0,0,0,1,,,
38,2023-08-28 2:29,13.71,13.7,0,0,0,1,,,
39,2023-08-28 2:44,13.73,13.66,0,0,0,1,,,
40,2023-08-28 2:59,13.8,13.75,0,0,0,1,,,
41,2023-08-28 3:14,16.18,16.19,0,0,0,1,,,
42,2023-08-28 3:29,16.63,16.57,0,0,0,1,,,
43,2023-08-28 3:44,16.33,16.38,0,0,0,1,,,
44,2023-08-28 3:59,16.55,16.45,0,0,0,1,,,
45,2023-08-28 4:14,19,18.88,0,0,0,1,,,
46,2023-08-28 4:29,19.55,19.6,0,0,0,1,,,
47,2023-08-28 4:44,19.31,19.28,0,0,0,1,,,
48,2023-08-28 4:59,19.5,19.37,0,0,0,1,,,
49,2023-08-28 5:14,22.56,22.52,0,0,0,1,,,
50,2023-08-28 5:29,23.15,23.11,0,0,0,1,,,
51,2023-08-28 5:44,22.89,22.8,0,0,0,1,,,
52,2023-08-28 5:59,22.93,22.97,0,0,0,1,,,
53,2023-08-28 6:14,28.75,28.74,0,0,0,1,,,
54,2023-08-28 6:29,29.33,29.23,0.13,0,0,1,,,
55,2023-08-28 6:44,28.87,29.05,0.15,0,0,1,,,
56,2023-08-28 6:59,28.98,29.2,0.23,0,0,1,,,
57,2023-08-28 7:14,37.06,37.67,0.73,0,0,1,,,
58,2023-08-28 7:29,36.15,37.96,1.6,0,0,1,,,
59,2023-08-28 7:44,37.17,37.97,0.9,0,0,1,,,
60,2023-08-28 7:59,37.6,37.62,0.29,0,0,1,,,
61,2023-08-28 8:14,45.02,46.9,1.78,0,0,1,,,
62,2023-08-28 8:29,45.72,46.88,1.08,0,0,1,,,
63,2023-08-28 8:44,45.95,47.08,1.33,0,0,1,,,
64,2023-08-28 8:59,42.13,46.69,4.62,0,0,1,,,
65,2023-08-28 9:14,52.43,55.92,3.38,0,0,1,,,
66,2023-08-28 9:29,3.97,4.16,0.31,0,0,1,,,
67,2023-08-28 9:44,7.79,5.26,1.94,0,0,1,,,
68,2023-08-28 9:59,22.89,46.57,21.64,0,0,1,,,
69,2023-08-28 10:14,16.85,57.28,40.51,0,0,1,,,
70,2023-08-28 10:29,31.57,60.78,29.15,0,0,1,,,
71,2023-08-28 10:44,26.94,60.36,33.32,0,0,1,,,
72,2023-08-28 10:59,30.83,61.09,30.32,0,0,1,,,
73,2023-08-28 11:14,28.4,63.2,34.71,0,0,1,,,
74,2023-08-28 11:29,28.88,63.99,35.01,0,0,1,,,
75,2023-08-28 11:44,29.43,63.3,33.96,0,0,1,,,
76,2023-08-28 11:59,29.12,64.02,34.8,0,0,1,,,
77,2023-08-28 12:14,27.37,63.19,35.7,0,0,1,,,
78,2023-08-28 12:29,31.89,63.71,31.92,0,0,1,,,
79,2023-08-28 12:44,24.05,63.06,38.86,0,0,1,,,
80,2023-08-28 12:59,18.63,63.21,44.48,0,0,1,,,
81,2023-08-28 13:14,21.45,63.55,42.24,0,0,1,,,
82,2023-08-28 13:29,29.7,63.23,33.43,0,0,1,,,
83,2023-08-28 13:44,29.34,63.43,33.77,-78.32,0,1,,,
84,2023-08-28 13:59,29.64,63.08,33.64,0,0,1,,,
85,2023-08-28 14:14,38.3,64.14,25.88,0,0,1,,,
86,2023-08-28 14:29,35.02,63.92,28.89,0,0,1,,,
87,2023-08-28 14:44,42.3,64.22,21.95,0,0,1,,,
88,2023-08-28 14:59,44.19,63.91,19.75,0,0,1,,,
89,2023-08-28 15:14,49.25,63.46,14.26,0,0,1,,,
90,2023-08-28 15:29,45.47,62.97,17.7,0,0,1,,,
91,2023-08-28 15:44,43.24,63.38,20.13,0,0,1,,,
