Unnamed: 0,date,acdc,load,pv,ess_charge,ess_discharge,workday,price,fee
0,2023-08-27 16:00,1.11,16.66,17.94,0,0,0,229,254.19
1,2023-08-27 17:00,26.87,43.06,16.32,0,0,0,229,6153.23
2,2023-08-27 18:00,41.31,41.33,0.07,0,0,0,146.9,6068.439
3,2023-08-27 19:00,36.22,36.19,0,0,0,0,146.9,5320.718
4,2023-08-27 20:00,38.68,38.74,0,0,0,0,146.9,5682.092
5,2023-08-27 21:00,36.53,36.43,0,0,0,0,146.9,5366.257
6,2023-08-27 22:00,35.61,35.63,0,0,0,0,94,3347.34
7,2023-08-27 23:00,24.59,24.53,0,0,0,0,94,2311.46
8,2023-08-28 0:00,37.99,37.79,0,0,0,1,94,3571.06
9,2023-08-28 1:00,34.67,34.47,0,0,0,1,94,3258.98
10,2023-08-28 2:00,41.24,41.11,0,0,0,1,94,3876.56
11,2023-08-28 3:00,49.51,49.4,0,0,0,1,94,4653.94
12,2023-08-28 4:00,58.36,58.25,0,0,0,1,94,5485.84
13,2023-08-28 5:00,68.97,68.88,0,0,0,1,94,6483.18
14,2023-08-28 6:00,87.18,87.48,0.51,0,0,1,94,8194.92
15,2023-08-28 7:00,110.92,113.55,2.79,0,0,1,94,10426.48
16,2023-08-28 8:00,133.8,140.65,7.03,0,0,1,94,12577.2
17,2023-08-28 9:00,34.65,55.99,23.89,0,0,1,146.9,5090.085
18,2023-08-28 10:00,89.34,182.23,92.79,0,0,1,146.9,13124.046
19,2023-08-28 11:00,87.43,191.31,103.77,0,0,1,146.9,12843.467
20,2023-08-28 12:00,74.57,189.98,115.26,0,0,1,146.9,10954.333
21,2023-08-28 13:00,88.68,189.74,100.84,-78.32,0,1,146.9,13027.092
22,2023-08-28 14:00,121.51,192.05,70.59,0,0,1,229,27825.79
23,2023-08-28 15:00,128.28,189.44,61.36,0,0,1,229,29376.12
24,2023-08-28 16:00,153.04,187.95,35.08,0,0,1,229,35046.16
25,2023-08-28 17:00,160.74,173.9,13.52,0,0,1,229,36809.46
26,2023-08-28 18:00,159.53,159.31,0.13,0,0,1,146.9,23434.957
27,2023-08-28 19:00,199.43,198.91,0,0,0,1,146.9,29296.267
28,2023-08-28 20:00,184.86,184.3,0,0,0,1,146.9,27155.934
29,2023-08-28 21:00,141.38,140.84,0,0,0,1,146.9,20768.722
30,2023-08-28 22:00,107.45,106.89,0,0,0,1,94,10100.3
31,2023-08-28 23:00,72.4,71.86,0,0,0,1,94,6805.6
32,2023-08-29 0:00,53.27,52.34,0,0,0,1,94,5007.38
33,2023-08-29 1:00,45.42,44.35,0,0,0,1,94,4269.48
34,2023-08-29 2:00,55.69,54.95,0,0,0,1,94,5234.86
35,2023-08-29 3:00,48.54,47.48,0,0,0,1,94,4562.76
36,2023-08-29 4:00,74.77,73.75,0,0,0,1,94,7028.38
37,2023-08-29 5:00,93.57,92.65,0,0,0,1,94,8795.58
38,2023-08-29 6:00,100.77,101.39,1.6,0,0,1,94,9472.38
39,2023-08-29 7:00,117.54,127.02,10.04,0,0,1,94,11048.76
40,2023-08-29 8:00,143.21,173.26,30.59,0,0,1,94,13461.74
41,2023-08-29 9:00,156.87,217.71,61.25,0,0,1,146.9,23044.203
42,2023-08-29 10:00,181.92,241.32,59.51,0,0,1,146.9,26724.048
43,2023-08-29 11:00,203.29,252.66,49.47,0,0,1,146.9,29863.301
44,2023-08-29 12:00,245.09,252.05,7.49,0,0,1,146.9,36003.721
45,2023-08-29 13:00,219.58,250.43,31.19,0,0,1,146.9,32256.302
46,2023-08-29 14:00,210.51,254.62,44.32,0,0,1,229,48206.79
47,2023-08-29 15:00,237.27,251.55,14.43,0,0,1,229,54334.83
48,2023-08-29 16:00,228.8,249.42,21.21,0,0,1,229,52395.2
49,2023-08-29 17:00,228.35,230.62,2.85,0,0,1,229,52292.15
50,2023-08-29 18:00,207.62,209.23,2.23,0,0,1,146.9,30499.378
51,2023-08-29 19:00,196.48,195.63,0,0,0,1,146.9,28862.912
52,2023-08-29 20:00,179.43,178.81,0,0,0,1,146.9,26358.267
53,2023-08-29 21:00,141.4,140.89,0,0,0,1,146.9,20771.66
54,2023-08-29 22:00,102.5,101.91,0,0,0,1,94,9635
55,2023-08-29 23:00,64.07,63.54,0,0,0,1,94,6022.58
56,2023-08-30 0:00,52.06,51.52,0,0,0,1,94,4893.64
57,2023-08-30 1:00,44.25,43.82,0,0,0,1,94,4159.5
58,2023-08-30 2:00,54.82,54.41,0,0,0,1,94,5153.08
59,2023-08-30 3:00,56.04,55.59,0,0,0,1,94,5267.76
60,2023-08-30 4:00,83.13,82.62,0,0,0,1,94,7814.22
61,2023-08-30 5:00,92.85,92.28,0,0,0,1,94,8727.9
62,2023-08-30 6:00,102.38,101.14,0.15,0,0,1,94,9623.72
63,2023-08-30 7:00,114.93,115.29,1.57,0,0,1,94,10803.42
64,2023-08-30 8:00,150.77,161.6,12.11,0,0,1,94,14172.38
65,2023-08-30 9:00,179.37,212.96,34.34,0,0,1,146.9,26349.453
66,2023-08-30 10:00,215.46,239.59,25.53,0,0,1,146.9,31651.074
67,2023-08-30 11:00,186.19,250.87,65.54,0,0,1,146.9,27351.311
68,2023-08-30 12:00,206.92,249.5,43.4,0,0,1,146.9,30396.548
69,2023-08-30 13:00,194.03,248.47,54.26,0,0,1,146.9,28503.007
70,2023-08-30 14:00,208.32,251.72,43.33,0,0,1,229,47705.28
71,2023-08-30 15:00,228.45,249.16,20.86,0,0,1,229,52315.05
