date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2020-01-01,0,0,0,0,0,0,0,19200,1728000,4540800,3868800,6652800,3350400,3446400,2534400,1660800,787200,67200,0,0,0,0,0,0
2020-01-02,0,0,0,0,0,0,0,0,288000,1718400,2476800,7190400,7862400,7507200,6470400,3369600,1305600,105600,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,0,0,604800,2083200,4608000,6374400,6624000,7430400,6806400,3744000,1708800,115200,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,0,729600,1833600,4780800,7824000,8928000,7459200,5721600,4070400,1507200,67200,0,0,0,0,0,0
2020-01-05,0,0,0,0,0,0,0,19200,1056000,2928000,6585600,8976000,8112000,6528000,5568000,2044800,758400,28800,0,0,0,0,0,0
2020-01-06,0,0,0,0,0,0,0,0,67200,614400,672000,518400,614400,787200,1104000,585600,153600,0,0,0,0,0,0,0
2020-01-07,0,0,0,0,0,0,0,0,9600,9600,355200,1286400,528000,700800,451200,374400,38400,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,0,0,0,0,0,192000,480000,528000,643200,489600,691200,326400,9600,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,0,0,0,0,624000,1737600,3196800,4694400,4464000,3782400,3264000,2716800,1027200,57600,0,0,0,0,0,0
2020-01-10,0,0,0,0,0,0,0,28800,1555200,4300800,7363200,8697600,8294400,9302400,7680000,5040000,2121600,192000,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,0,0,960000,3052800,5164800,7603200,8352000,8236800,6777600,4694400,1862400,67200,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,0,0,9600,422400,796800,1737600,1804800,2390400,2745600,1948800,1526400,748800,86400,0,0,0,0,0,0
2020-01-13,0,0,0,0,0,0,0,9600,489600,2841600,4406400,4953600,5788800,9302400,8294400,4291200,1334400,57600,0,0,0,0,0,0
2020-01-14,0,0,0,0,0,0,0,0,336000,902400,1478400,2467200,3667200,7113600,6604800,5059200,2025600,86400,0,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,9600,278400,720000,1430400,4502400,9235200,7977600,4550400,2179200,1382400,163200,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,0,0,0,652800,2438400,5923200,8601600,9321600,8841600,7776000,4656000,1334400,172800,0,0,0,0,0,0
2020-01-17,0,0,0,0,0,0,0,9600,988800,2169600,5145600,8448000,9148800,8092800,7900800,6028800,2832000,345600,0,0,0,0,0,0
2020-01-18,0,0,0,0,0,0,0,19200,1449600,4368000,6028800,8908800,9638400,8198400,6220800,4051200,979200,211200,0,0,0,0,0,0
2020-01-19,0,0,0,0,0,0,0,0,240000,902400,883200,710400,902400,4886400,3494400,2851200,892800,172800,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,0,0,0,652800,2736000,7286400,8832000,9494400,9417600,8284800,5116800,2553600,364800,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,0,0,28800,1766400,5299200,8025600,9484800,10099200,9648000,8390400,6460800,3264000,153600,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,0,0,0,115200,604800,316800,393600,508800,364800,288000,153600,48000,0,0,0,0,0,0,0
2020-01-23,0,0,0,0,0,0,0,0,336000,2505600,3984000,7286400,8265600,8678400,7536000,4348800,1468800,201600,0,0,0,0,0,0
