,date,sunlight,temperature,pv
0,2023-08-27 16:00:00,78.21,36.98,17.94
1,2023-08-27 17:00:00,35.61,34.96,16.32
2,2023-08-27 18:00:00,4.56,32.72,0.07
3,2023-08-27 19:00:00,0.0,30.41,0.0
4,2023-08-27 20:00:00,0.0,30.0,0.0
5,2023-08-27 21:00:00,0.0,29.55,0.0
6,2023-08-27 22:00:00,0.0,29.0,0.0
7,2023-08-27 23:00:00,0.0,28.11,0.0
8,2023-08-28 00:00:00,0.0,28.0,0.0
9,2023-08-28 01:00:00,0.0,28.68,0.0
10,2023-08-28 02:00:00,0.0,29.0,0.0
11,2023-08-28 03:00:00,0.0,28.58,0.0
12,2023-08-28 04:00:00,0.0,28.0,0.0
13,2023-08-28 05:00:00,0.0,28.0,0.0
14,2023-08-28 06:00:00,5.03,28.46,0.51
15,2023-08-28 07:00:00,11.04,28.69,2.79
16,2023-08-28 08:00:00,14.73,27.73,7.03
17,2023-08-28 09:00:00,61.5,27.85,23.89
18,2023-08-28 10:00:00,179.3,30.28,92.79
19,2023-08-28 11:00:00,187.39,32.54,103.77
20,2023-08-28 12:00:00,209.19,34.38,115.26
21,2023-08-28 13:00:00,195.02,35.1,100.84
22,2023-08-28 14:00:00,128.28,34.6,70.59
23,2023-08-28 15:00:00,104.81,34.34,61.36
24,2023-08-28 16:00:00,71.22,34.36,35.08
25,2023-08-28 17:00:00,29.77,32.58,13.52
26,2023-08-28 18:00:00,2.53,30.55,0.13
27,2023-08-28 19:00:00,0.0,29.41,0.0
28,2023-08-28 20:00:00,0.0,29.0,0.0
29,2023-08-28 21:00:00,0.0,29.06,0.0
30,2023-08-28 22:00:00,0.0,29.0,0.0
31,2023-08-28 23:00:00,0.0,28.08,0.0
32,2023-08-29 00:00:00,0.0,28.0,0.0
33,2023-08-29 01:00:00,0.0,28.0,0.0
34,2023-08-29 02:00:00,0.0,28.0,0.0
35,2023-08-29 03:00:00,0.0,28.0,0.0
36,2023-08-29 04:00:00,0.0,28.0,0.0
37,2023-08-29 05:00:00,0.0,28.0,0.0
38,2023-08-29 06:00:00,5.03,28.0,1.6
39,2023-08-29 07:00:00,15.25,28.91,10.04
40,2023-08-29 08:00:00,42.04,29.81,30.59
41,2023-08-29 09:00:00,82.44,31.79,61.25
42,2023-08-29 10:00:00,80.76,32.69,59.51
43,2023-08-29 11:00:00,65.48,32.0,49.47
44,2023-08-29 12:00:00,16.4,28.79,7.49
45,2023-08-29 13:00:00,41.77,28.34,31.19
46,2023-08-29 14:00:00,60.06,30.26,44.32
47,2023-08-29 15:00:00,20.64,29.41,14.43
48,2023-08-29 16:00:00,30.06,29.23,21.21
49,2023-08-29 17:00:00,12.0,28.23,2.85
50,2023-08-29 18:00:00,3.95,27.88,2.23
51,2023-08-29 19:00:00,0.0,27.0,0.0
52,2023-08-29 20:00:00,0.0,27.0,0.0
53,2023-08-29 21:00:00,0.0,27.0,0.0
54,2023-08-29 22:00:00,0.0,26.56,0.0
55,2023-08-29 23:00:00,0.0,26.0,0.0
56,2023-08-30 00:00:00,0.0,26.0,0.0
57,2023-08-30 01:00:00,0.0,26.0,0.0
58,2023-08-30 02:00:00,0.0,26.0,0.0
59,2023-08-30 03:00:00,0.0,26.0,0.0
60,2023-08-30 04:00:00,0.0,26.0,0.0
61,2023-08-30 05:00:00,0.0,25.9,0.0
62,2023-08-30 06:00:00,0.98,25.27,0.15
63,2023-08-30 07:00:00,7.07,25.58,1.57
64,2023-08-30 08:00:00,19.61,25.22,12.11
65,2023-08-30 09:00:00,46.68,26.52,34.34
66,2023-08-30 10:00:00,34.88,26.85,25.53
67,2023-08-30 11:00:00,86.08,27.27,65.54
68,2023-08-30 12:00:00,57.7,27.0,43.4
69,2023-08-30 13:00:00,71.92,27.89,54.26
70,2023-08-30 14:00:00,58.32,27.77,43.33
71,2023-08-30 15:00:00,28.82,26.62,20.86
72,2023-08-30 16:00:00,16.17,25.37,11.42
73,2023-08-30 17:00:00,8.63,24.01,4.94
74,2023-08-30 18:00:00,0.28,23.0,0.09
75,2023-08-30 19:00:00,0.0,23.0,0.0
