date,temp,hum,light
2020-01-01 0:00,-4.9,50,
2020-01-01 1:00,-4.6,48,
2020-01-01 2:00,-4.7,50,
2020-01-01 3:00,-4.5,52,
2020-01-01 4:00,-3.5,48,
2020-01-01 5:00,-3,51,
2020-01-01 6:00,-3.6,58,
2020-01-01 7:00,-3.8,59,
2020-01-01 8:00,-3.7,59,0.07
2020-01-01 9:00,-2.5,54,0.45
2020-01-01 10:00,-1,53,0.75
2020-01-01 11:00,0.2,50,1.08
2020-01-01 12:00,1.6,49,0.98
2020-01-01 13:00,3.1,51,1.11
2020-01-01 14:00,3.9,51,1.04
2020-01-01 15:00,4.3,50,1.27
2020-01-01 16:00,4.7,49,1.28
2020-01-01 17:00,3.8,51,0.5
2020-01-01 18:00,2.8,55,0.09
2020-01-01 19:00,2,59,
2020-01-01 20:00,1.1,64,
2020-01-01 21:00,0.4,68,
2020-01-01 22:00,0.9,67,
2020-01-01 23:00,-0.1,71,
2020-01-02 0:00,-0.7,78,
2020-01-02 1:00,-0.8,81,
2020-01-02 2:00,-1.5,83,
2020-01-02 3:00,-1.3,84,
2020-01-02 4:00,-1.5,83,
2020-01-02 5:00,-2,86,
2020-01-02 6:00,-2.5,88,
2020-01-02 7:00,-2.4,89,
2020-01-02 8:00,-2,87,0.07
2020-01-02 9:00,-0.6,82,0.36
2020-01-02 10:00,0.7,76,0.87
2020-01-02 11:00,3.4,64,1.4
2020-01-02 12:00,5.4,55,1.73
2020-01-02 13:00,6.7,50,1.88
2020-01-02 14:00,8,48,1.8
2020-01-02 15:00,8.4,46,1.46
2020-01-02 16:00,7.8,43,0.96
2020-01-02 17:00,6.7,47,0.44
2020-01-02 18:00,5.6,52,0.09
2020-01-02 19:00,4.6,61,
2020-01-02 20:00,3.6,65,
2020-01-02 21:00,2.9,70,
2020-01-02 22:00,3.3,70,
2020-01-02 23:00,3.2,69,
2020-01-03 0:00,2.8,75,
2020-01-03 1:00,2.9,76,
2020-01-03 2:00,2.7,77,
2020-01-03 3:00,2.7,78,
2020-01-03 4:00,2,80,
2020-01-03 5:00,1.1,85,
2020-01-03 6:00,0.5,89,
2020-01-03 7:00,0.3,91,
2020-01-03 8:00,0.4,92,0.07
2020-01-03 9:00,1.3,87,0.26
2020-01-03 10:00,3.6,76,0.89
2020-01-03 11:00,5.5,66,1.2
2020-01-03 12:00,6.8,56,1.51
2020-01-03 13:00,7.9,51,1.97
2020-01-03 14:00,8,51,1.84
2020-01-03 15:00,8.3,49,1.52
2020-01-03 16:00,8.1,47,1.02
2020-01-03 17:00,7,53,0.47
2020-01-03 18:00,6,60,0.08
2020-01-03 19:00,5,59,
2020-01-03 20:00,3.8,66,
2020-01-03 21:00,2.8,72,
2020-01-03 22:00,2.6,76,
2020-01-03 23:00,1.9,81,
2020-01-04 0:00,1.8,81,
