date,temp,hum,light
2021-01-01 0:00,1.1,79,0
2021-01-01 1:00,1.1,83,0
2021-01-01 2:00,1.1,81,0
2021-01-01 3:00,1.1,86,0
2021-01-01 4:00,1.1,87,0
2021-01-01 5:00,1.1,93,0
2021-01-01 6:00,1.1,92,0
2021-01-01 7:00,1.1,94,0
2021-01-01 8:00,1.1,95,0.06
2021-01-01 9:00,1.1,95,0.19
2021-01-01 10:00,1.1,93,0.33
2021-01-01 11:00,1,86,0.66
2021-01-01 12:00,1.1,79,1.73
2021-01-01 13:00,2.2,74,1.75
2021-01-01 14:00,6.7,74,1.7
2021-01-01 15:00,7.9,70,1.42
2021-01-01 16:00,4.9,63,0.73
2021-01-01 17:00,3.2,67,0.35
2021-01-01 18:00,1.8,78,0.08
2021-01-01 19:00,0.9,72,0
2021-01-01 20:00,1.1,68,0
2021-01-01 21:00,0.8,76,0
2021-01-01 22:00,0.7,84,0
2021-01-01 23:00,0.9,87,0
2021-01-02 0:00,1,89,0
2021-01-02 1:00,0.8,95,0
2021-01-02 2:00,0.7,97,0
2021-01-02 3:00,0.8,98,0
2021-01-02 4:00,0.9,98,0
2021-01-02 5:00,1,98,0
2021-01-02 6:00,1.1,98,0
2021-01-02 7:00,1.1,98,0
2021-01-02 8:00,0.9,97,0.07
2021-01-02 9:00,0.8,94,0.25
2021-01-02 10:00,1.2,79,0.85
2021-01-02 11:00,4.8,64,1.77
2021-01-02 12:00,7,55,1.87
2021-01-02 13:00,9.1,48,2.14
2021-01-02 14:00,9.1,46,2.01
2021-01-02 15:00,7.6,38,1.71
2021-01-02 16:00,5.1,33,1.22
2021-01-02 17:00,1.7,41,0.56
2021-01-02 18:00,0.9,48,0.09
2021-01-02 19:00,0.4,51,0
2021-01-02 20:00,0.1,54,0
2021-01-02 21:00,-0.7,54,0
2021-01-02 22:00,-1.4,55,0
2021-01-02 23:00,-1.7,58,0
2021-01-03 0:00,-1.9,57,0
2021-01-03 1:00,-2,56,0
2021-01-03 2:00,-1.7,62,0
2021-01-03 3:00,-1.7,59,0
2021-01-03 4:00,-1.8,56,0
2021-01-03 5:00,-1.8,55,0
2021-01-03 6:00,-1.9,56,0
2021-01-03 7:00,-2,59,0
2021-01-03 8:00,-2.6,57,0.07
2021-01-03 9:00,-2,52,0.35
2021-01-03 10:00,-0.4,45,0.99
2021-01-03 11:00,0,42,1.54
2021-01-03 12:00,1.8,43,1.91
2021-01-03 13:00,1.1,44,1.93
2021-01-03 14:00,5.2,42,1.8
2021-01-03 15:00,5.4,47,1.13
2021-01-03 16:00,3.4,49,0.37
2021-01-03 17:00,2,51,0.21
2021-01-03 18:00,0.8,54,0.07
2021-01-03 19:00,1.4,55,0
2021-01-03 20:00,0.7,58,0
2021-01-03 21:00,0.4,58,0
2021-01-03 22:00,0.3,58,0
2021-01-03 23:00,0.2,61,0
2021-01-04 0:00,0,68,0
2021-01-04 1:00,-0.1,70,0
2021-01-04 2:00,-0.3,74,0
2021-01-04 3:00,-0.7,76,0
2021-01-04 4:00,-1,77,0
2021-01-04 5:00,-1.2,81,0
2021-01-04 6:00,-1.4,84,0
2021-01-04 7:00,-1.5,73,0
2021-01-04 8:00,-1.5,64,0.07
2021-01-04 9:00,-1.2,83,0.38
2021-01-04 10:00,-0.5,63,0.93
2021-01-04 11:00,-0.2,56,0.97
2021-01-04 12:00,1.9,48,1.84
2021-01-04 13:00,5.1,49,1.94
2021-01-04 14:00,8.3,46,1.89
2021-01-04 15:00,8.6,48,1.27
2021-01-04 16:00,6.9,57,0.44
2021-01-04 17:00,4.8,61,0.26
2021-01-04 18:00,2.5,62,0.08
2021-01-04 19:00,1.1,72,0
2021-01-04 20:00,0.9,81,0
2021-01-04 21:00,0.8,83,0
2021-01-04 22:00,0.8,86,0
2021-01-04 23:00,0.7,88,0
2021-01-05 0:00,0.7,90,0
2021-01-05 1:00,0.7,93,0
2021-01-05 2:00,0.7,92,0
2021-01-05 3:00,0.8,92,0
2021-01-05 4:00,0.9,93,0
2021-01-05 5:00,0.9,95,0
2021-01-05 6:00,0.9,94,0
2021-01-05 7:00,0.9,84,0
2021-01-05 8:00,0.6,67,0.07
2021-01-05 9:00,0.6,62,0.42
2021-01-05 10:00,2.7,58,0.95
2021-01-05 11:00,6.1,50,1.46
2021-01-05 12:00,5.7,54,1.23
2021-01-05 13:00,5.3,54,0.89
2021-01-05 14:00,5.3,50,0.92
2021-01-05 15:00,4.6,49,0.8
2021-01-05 16:00,3.5,48,0.53
2021-01-05 17:00,1.6,47,0.39
2021-01-05 18:00,1,48,0.08
2021-01-05 19:00,0.7,49,0
2021-01-05 20:00,0.4,52,0
2021-01-05 21:00,0.1,55,0
2021-01-05 22:00,-0.1,58,0
2021-01-05 23:00,-0.4,63,0
2021-01-06 0:00,-0.7,65,0
2021-01-06 1:00,-0.9,64,0
2021-01-06 2:00,-1.2,62,0
